"","ME","RMSE","MAE","MPE","MAPE","ACF1","Theil's U"
"Test set",19.2507042253521,25.4055345319555,21.4996773333685,0.437968261285541,0.492319406802926,-0.125237157775876,1
"Test set",1.66386918169772,16.677207635559,13.2695198907883,0.0388753095201973,0.3055364738485,-0.099349040849875,0.672050222802812
"Test set",1.58595374826688,16.5088651080107,12.917577860106,0.0356219725452249,0.298359011266325,0.00850184466222032,0.667532149176945
